kode_prov,nama_prov,kode_satker,kode_ddn,nama_daerah,kode_skpd,nama_skpd,kode_unit_skpd,nama_unit_skpd,kode_urusan,nama_urusan,kode_bidang_urusan,nama_bidang_urusan,kode_program,nama_program,indikator_program,target_program,satuan_indikator_program,sasaran,kode_giat,nama_giat,indikator_giat,target_giat,satuan_indikator_giat,kode_sub_giat,nama_sub_giat,indikator_sub_giat,target_sub_giat,satuan_indikator_sub_giat,kode_dana,nama_dana,kode_akun,nama_akun,kode_kelompok,nama_kelompok,kode_jenis,nama_jenis,kode_objek,nama_objek,kode_standar_harga,nama_standar_harga,spesifikasi,satuan,volume,harga_satuan,koefisien,total_rincian,tahun_anggaran,jenis_apbd,kode_rekening,nama_rekening,kode_sub_rincian_objek,nama_sub_rincian_objek,lokasi,sumber_pendanaan,catatan,status
33,Jawa Tengah,SAT-33-004,33.01,Kota Semarang,33.01.17,Dinas Perpustakaan dan Kearsipan,33.01.17.06,UPT Wilayah II - Dinas Perpustakaan dan Kearsipan,2,Urusan Wajib Non Pelayanan Dasar,07,Tenaga Kerja,2.01.04,Program Peningkatan Sumber Daya Manusia,Indeks Pembangunan Manusia,55,Poin,Meningkatnya kualitas SDM,2.01.04.09,Pembangunan Jalan dan Jembatan,Panjang jalan terbangun,308,Km,2.01.04.09.12,Pengadaan Komputer dan Jaringan,Jumlah unit komputer,31,Unit,6,Dana Transfer Khusus,5,Belanja Daerah,5.2,Belanja Modal,5.2.04,"Belanja Modal Jalan, Irigasi dan Jaringan",5.2.04.01,Belanja Modal Konstruksi Jalan,SH.026,Obat-obatan Generik,Paket per bulan,Paket,133,1423000,1.0,189259000,2023,Murni,1.1.01,Kas di Kas Daerah,02,Pengadaan Melalui Tender,Ruang Rapat Utama,APBD Murni,,Disetujui
36,Banten,SAT-36-017,36.01,Kota Tangerang,36.01.19,Dinas Perdagangan dan Perindustrian,36.01.19.05,UPT Wilayah I - Dinas Perdagangan dan Perindustrian,2,Urusan Wajib Non Pelayanan Dasar,13,Pemberdayaan Masyarakat dan Desa,2.07.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,77,Tahun,Meningkatnya derajat kesehatan masyarakat,2.07.10.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,214,Layanan,2.07.10.11.05,Penyelenggaraan Rapat dan Konsultasi,Jumlah rapat terselenggara,170,Kali,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.1,Belanja Operasi,5.1.02,Belanja Barang dan Jasa,5.1.02.01,Belanja Bahan Pakai Habis,SH.004,Laptop,Core i7 RAM 16GB SSD 512GB,Unit,391,18389000,1.0,7190099000,2024,Perubahan,1.1.03,Kas di Bendahara Penerimaan,03,Penunjukan Langsung,Ruang Rapat Utama,Dana Transfer,,Selesai
51,Bali,SAT-51-039,51.01,Kota Denpasar,51.01.22,Badan Kepegawaian Daerah,51.01.22.03,Bidang Pelaksanaan - Badan Kepegawaian Daerah,4,Urusan Pemerintahan Umum,21,Perencanaan,4.01.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,89,%,Meningkatnya kualitas infrastruktur dasar,4.01.03.05,Penyusunan Dokumen Perencanaan,Jumlah dokumen,474,Dokumen,4.01.03.05.10,Pelaksanaan Survei dan Pendataan,Jumlah responden,134,Orang,2,Dana Alokasi Khusus (DAK),5,Belanja Daerah,5.4,Belanja Transfer,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.013,Sewa Gedung Pertemuan,Per hari kapasitas 100 orang,Hari,450,8173000,1.0,3677850000,2024,Perubahan,5.1.02,Rekening Belanja Barang,05,Swakelola,Balai Desa,APBD Perubahan,Perlu koordinasi lintas SKPD,Revisi
32,Jawa Barat,SAT-32-038,32.02,Kabupaten Bandung,32.02.02,Dinas Kesehatan,32.02.02.05,UPT Wilayah I - Dinas Kesehatan,4,Urusan Pemerintahan Umum,22,Keuangan,4.02.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,83,%,Meningkatnya kinerja penunjang urusan pemerintahan,4.02.01.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,420,Layanan,4.02.01.11.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,198,Eksemplar,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.2,Belanja Modal,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.03,Belanja Modal Kendaraan,SH.037,Staples,Staples No.10 isi 1000,Kotak,316,7911,1.1,2749863,2025,Murni,1.1.01,Kas di Kas Daerah,01,Pembelian Langsung,Gedung Serbaguna,APBD Perubahan,,Proses Verifikasi
73,Sulawesi Selatan,SAT-73-020,73.01,Kota Makassar,73.01.07,Dinas Lingkungan Hidup,73.01.07.01,Sekretariat - Dinas Lingkungan Hidup,2,Urusan Wajib Non Pelayanan Dasar,12,Administrasi Kependudukan dan Pencatatan Sipil,2.06.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,72,%,Meningkatnya kualitas infrastruktur dasar,2.06.03.06,Pelaksanaan Monitoring dan Evaluasi,Jumlah kegiatan monev,314,Kegiatan,2.06.03.06.07,Penyediaan Jasa Kebersihan,Luas area terlayani,58,M2,5,Dana Desa,5,Belanja Daerah,5.1,Belanja Operasi,5.1.04,Belanja Subsidi,5.2.04.01,Belanja Modal Konstruksi Jalan,SH.049,Masker Medis,Masker 3 ply per box 50,Box,94,49125,1.15,5310412,2023,Murni,1.1.01,Kas di Kas Daerah,05,Swakelola,Aula Kantor Bupati/Walikota,Dana Transfer,,Selesai
32,Jawa Barat,SAT-32-004,32.01,Kota Bandung,32.01.09,Dinas Pemberdayaan Masyarakat dan Desa,32.01.09.02,Bidang Perencanaan - Dinas Pemberdayaan Masyarakat dan Desa,4,Urusan Pemerintahan Umum,23,Kepegawaian,4.03.06,Program Pengelolaan Lingkungan Hidup,Indeks Kualitas Lingkungan Hidup,92,Poin,Meningkatnya kualitas lingkungan hidup,4.03.06.04,Peningkatan Kapasitas Aparatur,Jumlah aparatur yang ditingkatkan,110,Orang,4.03.06.04.05,Penyelenggaraan Rapat dan Konsultasi,Jumlah rapat terselenggara,150,Kali,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.2,Belanja Modal,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.026,Obat-obatan Generik,Paket per bulan,Paket,484,1652000,1.1,879524800,2023,Murni,1.1.02,Kas di Bendahara Pengeluaran,01,Pembelian Langsung,Puskesmas,Hibah,Lanjutan tahun sebelumnya,Disetujui
33,Jawa Tengah,SAT-33-001,33.05,Kota Surakarta,33.05.15,Dinas Kepemudaan dan Olahraga,33.05.15.04,Bidang Evaluasi dan Pelaporan - Dinas Kepemudaan dan Olahraga,3,Urusan Pilihan,18,Pariwisata,3.02.01,Program Penunjang Urusan Pemerintahan Daerah,Persentase pemenuhan penunjang urusan,56,%,Meningkatnya kinerja penunjang urusan pemerintahan,3.02.01.02,Penyediaan Barang dan Jasa Perkantoran,Jumlah barang/jasa tersedia,429,Paket,3.02.01.02.04,Pemeliharaan Kendaraan Dinas,Jumlah kendaraan terpelihara,116,Unit,5,Dana Desa,5,Belanja Daerah,5.2,Belanja Modal,5.2.01,Belanja Modal Tanah,5.1.02.02,Belanja Bahan/Material,SH.049,Masker Medis,Masker 3 ply per box 50,Box,465,31306,1.1,16013019,2023,Perubahan,1.1.02,Kas di Bendahara Pengeluaran,04,E-Purchasing,Gedung Serbaguna,APBD Perubahan,,Disetujui
34,DI Yogyakarta,SAT-34-049,34.01,Kota Yogyakarta,34.01.18,Dinas Pertanian dan Ketahanan Pangan,34.01.18.06,UPT Wilayah II - Dinas Pertanian dan Ketahanan Pangan,2,Urusan Wajib Non Pelayanan Dasar,11,Lingkungan Hidup,2.05.02,Program Peningkatan Kualitas Pelayanan Publik,Indeks Kepuasan Masyarakat,82,Poin,Meningkatnya kualitas pelayanan publik,2.05.02.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,226,Layanan,2.05.02.11.06,Penyusunan Laporan Kinerja,Jumlah laporan,35,Dokumen,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.1,Belanja Operasi,5.1.05,Belanja Hibah,5.1.02.08,Belanja Makanan dan Minuman,SH.026,Obat-obatan Generik,Paket per bulan,Paket,446,724000,1.15,371339600,2025,Murni,5.1.02,Rekening Belanja Barang,05,Swakelola,Kantor SKPD,Dana Transfer,Sesuai RPJMD,Disetujui
34,DI Yogyakarta,SAT-34-014,34.01,Kota Yogyakarta,34.01.05,Badan Perencanaan Pembangunan Daerah,34.01.05.03,Bidang Pelaksanaan - Badan Perencanaan Pembangunan Daerah,4,Urusan Pemerintahan Umum,24,Pengawasan,4.04.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,51,Tahun,Meningkatnya derajat kesehatan masyarakat,4.04.10.04,Peningkatan Kapasitas Aparatur,Jumlah aparatur yang ditingkatkan,12,Orang,4.04.10.04.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,68,Eksemplar,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.1,Belanja Operasi,5.1.02,Belanja Barang dan Jasa,5.1.02.06,Belanja Cetak dan Penggandaan,SH.015,Snack Rapat,Snack box,Kotak,31,31305,0.5,485227,2025,Murni,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Lapangan Umum,Hibah,Perlu koordinasi lintas SKPD,Selesai
35,Jawa Timur,SAT-35-020,35.02,Kabupaten Sidoarjo,35.02.22,Badan Kepegawaian Daerah,35.02.22.05,UPT Wilayah I - Badan Kepegawaian Daerah,3,Urusan Pilihan,20,Perindustrian,3.04.12,Program Pengelolaan Keuangan Daerah,Opini BPK,89,Predikat,Meningkatnya pengelolaan keuangan daerah,3.04.12.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,303,Layanan,3.04.12.11.15,Perjalanan Dinas,Jumlah perjalanan dinas,77,Kali,2,Dana Alokasi Khusus (DAK),5,Belanja Daerah,5.2,Belanja Modal,5.2.01,Belanja Modal Tanah,5.1.02.06,Belanja Cetak dan Penggandaan,SH.025,Seragam Batik,Per stel,Stel,143,281000,1.15,46210450,2024,Murni,5.1.02,Rekening Belanja Barang,02,Pengadaan Melalui Tender,Kantor Kecamatan,Dana Transfer,,Selesai
33,Jawa Tengah,SAT-33-015,33.03,Kota Magelang,33.03.06,Dinas Perhubungan,33.03.06.01,Sekretariat - Dinas Perhubungan,3,Urusan Pilihan,17,Pertanian,3.01.04,Program Peningkatan Sumber Daya Manusia,Indeks Pembangunan Manusia,67,Poin,Meningkatnya kualitas SDM,3.01.04.06,Pelaksanaan Monitoring dan Evaluasi,Jumlah kegiatan monev,31,Kegiatan,3.01.04.06.04,Pemeliharaan Kendaraan Dinas,Jumlah kendaraan terpelihara,73,Unit,6,Dana Transfer Khusus,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.01,Belanja Pegawai,5.1.01.03,Tunjangan Jabatan,SH.043,Materai 10000,Materai tempel,Lembar,257,10000,1.1,2827000,2025,Murni,1.1.02,Kas di Bendahara Pengeluaran,01,Pembelian Langsung,Lapangan Umum,Dana Transfer,Lanjutan tahun sebelumnya,Disetujui
33,Jawa Tengah,SAT-33-022,33.01,Kota Semarang,33.01.05,Badan Perencanaan Pembangunan Daerah,33.01.05.04,Bidang Evaluasi dan Pelaporan - Badan Perencanaan Pembangunan Daerah,2,Urusan Wajib Non Pelayanan Dasar,07,Tenaga Kerja,2.01.04,Program Peningkatan Sumber Daya Manusia,Indeks Pembangunan Manusia,59,Poin,Meningkatnya kualitas SDM,2.01.04.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,90,Dataset,2.01.04.10.09,Pembayaran Utilitas Kantor,Jumlah bulan layanan,181,Bulan,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.4,Belanja Transfer,5.1.06,Belanja Bantuan Sosial,5.1.01.02,Tunjangan Keluarga,SH.019,Jasa Kebersihan Kantor,Per bulan,Bulan,75,4503000,0.5,168862500,2024,Murni,5.1.01,Rekening Belanja Pegawai,02,Pengadaan Melalui Tender,Sekolah,Dana Transfer,,Selesai
33,Jawa Tengah,SAT-33-030,33.04,Kabupaten Magelang,33.04.03,Dinas Pekerjaan Umum dan Penataan Ruang,33.04.03.03,Bidang Pelaksanaan - Dinas Pekerjaan Umum dan Penataan Ruang,1,Urusan Wajib Pelayanan Dasar,05,Ketenteraman dan Ketertiban Umum,1.05.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,89,%,Meningkatnya kualitas infrastruktur dasar,1.05.03.05,Penyusunan Dokumen Perencanaan,Jumlah dokumen,28,Dokumen,1.05.03.05.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,108,Orang,6,Dana Transfer Khusus,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.2.05,Belanja Modal Aset Tetap Lainnya,5.1.02.08,Belanja Makanan dan Minuman,SH.037,Staples,Staples No.10 isi 1000,Kotak,332,10831,2.0,7191784,2025,Murni,5.2.01,Rekening Belanja Modal,04,E-Purchasing,Sekolah,Hibah,Perlu koordinasi lintas SKPD,Disetujui
31,DKI Jakarta,SAT-31-049,31.03,Kota Jakarta Barat,31.03.22,Badan Kepegawaian Daerah,31.03.22.03,Bidang Pelaksanaan - Badan Kepegawaian Daerah,2,Urusan Wajib Non Pelayanan Dasar,15,Perhubungan,2.09.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,55,Tahun,Meningkatnya derajat kesehatan masyarakat,2.09.10.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,108,Dataset,2.09.10.10.03,Pengadaan Peralatan dan Mesin,Jumlah peralatan,38,Unit,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.4,Belanja Transfer,5.1.04,Belanja Subsidi,5.1.02.10,Belanja Perjalanan Dinas,SH.026,Obat-obatan Generik,Paket per bulan,Paket,347,1571000,1.0,545137000,2024,Perubahan,5.1.02,Rekening Belanja Barang,04,E-Purchasing,Gedung Serbaguna,Dana Transfer,Sesuai RPJMD,Disetujui
61,Kalimantan Barat,SAT-61-042,61.01,Kota Pontianak,61.01.03,Dinas Pekerjaan Umum dan Penataan Ruang,61.01.03.05,UPT Wilayah I - Dinas Pekerjaan Umum dan Penataan Ruang,2,Urusan Wajib Non Pelayanan Dasar,08,Pemberdayaan Perempuan dan Perlindungan Anak,2.02.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,88,Tahun,Meningkatnya derajat kesehatan masyarakat,2.02.10.02,Penyediaan Barang dan Jasa Perkantoran,Jumlah barang/jasa tersedia,223,Paket,2.02.10.02.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,102,Eksemplar,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.1,Belanja Operasi,5.1.06,Belanja Bantuan Sosial,5.1.01.03,Tunjangan Jabatan,SH.004,Laptop,Core i7 RAM 16GB SSD 512GB,Unit,148,15550000,1.0,2301400000,2025,Murni,5.1.01,Rekening Belanja Pegawai,01,Pembelian Langsung,Kantor Kecamatan,Dana Transfer,,Proses Verifikasi
33,Jawa Tengah,SAT-33-038,33.01,Kota Semarang,33.01.15,Dinas Kepemudaan dan Olahraga,33.01.15.06,UPT Wilayah II - Dinas Kepemudaan dan Olahraga,2,Urusan Wajib Non Pelayanan Dasar,08,Pemberdayaan Perempuan dan Perlindungan Anak,2.02.08,Program Peningkatan Tata Kelola Pemerintahan,Nilai SAKIP,71,Predikat,Meningkatnya akuntabilitas kinerja,2.02.08.01,Penyediaan Jasa Komunikasi dan Informasi,Jumlah layanan komunikasi,250,Layanan,2.02.08.01.13,Renovasi Ruang Kantor,Luas renovasi,55,M2,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.1,Belanja Operasi,5.1.05,Belanja Hibah,5.1.01.01,Gaji Pokok PNS,SH.004,Laptop,Core i7 RAM 16GB SSD 512GB,Unit,444,12070000,1.1,5894988000,2025,Perubahan,5.2.01,Rekening Belanja Modal,05,Swakelola,Puskesmas,Hibah,,Selesai
32,Jawa Barat,SAT-32-041,32.02,Kabupaten Bandung,32.02.24,Sekretariat Daerah,32.02.24.03,Bidang Pelaksanaan - Sekretariat Daerah,4,Urusan Pemerintahan Umum,22,Keuangan,4.02.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,66,Tahun,Meningkatnya derajat kesehatan masyarakat,4.02.10.03,Pemeliharaan Sarana dan Prasarana,Jumlah sarana terpelihara,490,Unit,4.02.10.03.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,44,Orang,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.02,Belanja Barang dan Jasa,5.1.02.03,Belanja Jasa Kantor,SH.015,Snack Rapat,Snack box,Kotak,253,26485,2.0,13401410,2024,Murni,5.1.01,Rekening Belanja Pegawai,01,Pembelian Langsung,Balai Desa,APBD Perubahan,Sesuai RPJMD,Selesai
32,Jawa Barat,SAT-32-041,32.02,Kabupaten Bandung,32.02.16,Dinas Kebudayaan dan Pariwisata,32.02.16.01,Sekretariat - Dinas Kebudayaan dan Pariwisata,2,Urusan Wajib Non Pelayanan Dasar,10,Pertanahan,2.04.05,Program Pengembangan Ekonomi Kreatif,Pertumbuhan ekonomi kreatif,56,%,Meningkatnya kontribusi ekonomi kreatif,2.04.05.05,Penyusunan Dokumen Perencanaan,Jumlah dokumen,207,Dokumen,2.04.05.05.03,Pengadaan Peralatan dan Mesin,Jumlah peralatan,106,Unit,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.4,Belanja Transfer,5.2.03,Belanja Modal Gedung dan Bangunan,5.2.03.01,Belanja Modal Konstruksi Gedung,SH.011,Kendaraan Roda Dua,Motor matic 125cc,Unit,150,19837000,1.0,2975550000,2023,Perubahan,5.2.01,Rekening Belanja Modal,05,Swakelola,Aula Kantor Bupati/Walikota,Dana Transfer,Lanjutan tahun sebelumnya,Selesai
31,DKI Jakarta,SAT-31-014,31.03,Kota Jakarta Barat,31.03.02,Dinas Kesehatan,31.03.02.05,UPT Wilayah I - Dinas Kesehatan,2,Urusan Wajib Non Pelayanan Dasar,16,Komunikasi dan Informatika,2.10.06,Program Pengelolaan Lingkungan Hidup,Indeks Kualitas Lingkungan Hidup,82,Poin,Meningkatnya kualitas lingkungan hidup,2.10.06.14,Pelatihan dan Bimbingan Teknis,Jumlah peserta pelatihan,170,Orang,2.10.06.14.06,Penyusunan Laporan Kinerja,Jumlah laporan,41,Dokumen,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.02,Belanja Barang dan Jasa,5.1.02.05,Belanja Perawatan Kendaraan,SH.041,Paper Clip,Paper clip kecil isi 100,Kotak,57,7550,0.5,215175,2023,Perubahan,1.1.01,Kas di Kas Daerah,02,Pengadaan Melalui Tender,Lapangan Umum,APBD Perubahan,Sesuai RPJMD,Disetujui
32,Jawa Barat,SAT-32-031,32.03,Kota Bogor,32.03.17,Dinas Perpustakaan dan Kearsipan,32.03.17.05,UPT Wilayah I - Dinas Perpustakaan dan Kearsipan,2,Urusan Wajib Non Pelayanan Dasar,11,Lingkungan Hidup,2.05.12,Program Pengelolaan Keuangan Daerah,Opini BPK,85,Predikat,Meningkatnya pengelolaan keuangan daerah,2.05.12.05,Penyusunan Dokumen Perencanaan,Jumlah dokumen,155,Dokumen,2.05.12.05.09,Pembayaran Utilitas Kantor,Jumlah bulan layanan,28,Bulan,8,Sisa Lebih Perhitungan Anggaran (SiLPA),5,Belanja Daerah,5.3,Belanja Tidak Terduga,5.1.04,Belanja Subsidi,5.1.02.03,Belanja Jasa Kantor,SH.045,Air Mineral Gelas,Air mineral 220ml,Gelas,441,902,1.15,457449,2024,Perubahan,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Sekolah,Dana Transfer,Sesuai RPJMD,Disetujui
61,Kalimantan Barat,SAT-61-039,61.01,Kota Pontianak,61.01.13,Dinas Koperasi dan UKM,61.01.13.04,Bidang Evaluasi dan Pelaporan - Dinas Koperasi dan UKM,2,Urusan Wajib Non Pelayanan Dasar,11,Lingkungan Hidup,2.05.10,Program Peningkatan Kesehatan Masyarakat,Angka Harapan Hidup,88,Tahun,Meningkatnya derajat kesehatan masyarakat,2.05.10.08,Pembangunan dan Rehabilitasi Gedung,Luas bangunan,422,M2,2.05.10.08.08,Penyediaan Jasa Keamanan,Jumlah petugas keamanan,185,Orang,4,Dana Bagi Hasil (DBH),5,Belanja Daerah,5.4,Belanja Transfer,5.1.03,Belanja Bunga,5.1.02.06,Belanja Cetak dan Penggandaan,SH.016,Perjalanan Dinas Dalam Daerah,Per hari,OH,476,244000,1.0,116144000,2025,Murni,5.1.02,Rekening Belanja Barang,02,Pengadaan Melalui Tender,Gedung Serbaguna,APBD Murni,Menunggu DAK,Selesai
35,Jawa Timur,SAT-35-041,35.02,Kabupaten Sidoarjo,35.02.25,Sekretariat DPRD,35.02.25.01,Sekretariat - Sekretariat DPRD,1,Urusan Wajib Pelayanan Dasar,06,Sosial,1.06.04,Program Peningkatan Sumber Daya Manusia,Indeks Pembangunan Manusia,85,Poin,Meningkatnya kualitas SDM,1.06.04.03,Pemeliharaan Sarana dan Prasarana,Jumlah sarana terpelihara,428,Unit,1.06.04.03.09,Pembayaran Utilitas Kantor,Jumlah bulan layanan,66,Bulan,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.2,Belanja Modal,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.03,Belanja Modal Kendaraan,SH.036,Binder Clip,Binder clip kecil,Buah,97,1577,1.0,152969,2024,Murni,1.1.03,Kas di Bendahara Penerimaan,04,E-Purchasing,Sekolah,APBD Perubahan,Sesuai RPJMD,Selesai
61,Kalimantan Barat,SAT-61-044,61.01,Kota Pontianak,61.01.20,Dinas Komunikasi dan Informatika,61.01.20.04,Bidang Evaluasi dan Pelaporan - Dinas Komunikasi dan Informatika,2,Urusan Wajib Non Pelayanan Dasar,16,Komunikasi dan Informatika,2.10.05,Program Pengembangan Ekonomi Kreatif,Pertumbuhan ekonomi kreatif,65,%,Meningkatnya kontribusi ekonomi kreatif,2.10.05.01,Penyediaan Jasa Komunikasi dan Informasi,Jumlah layanan komunikasi,55,Layanan,2.10.05.01.13,Renovasi Ruang Kantor,Luas renovasi,95,M2,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.03,Belanja Bunga,5.1.02.02,Belanja Bahan/Material,SH.008,AC Split 1 PK,Inverter low watt,Unit,266,5234000,1.0,1392244000,2022,Perubahan,1.1.03,Kas di Bendahara Penerimaan,03,Penunjukan Langsung,Ruang Rapat Utama,Hibah,,Selesai
35,Jawa Timur,SAT-35-043,35.02,Kabupaten Sidoarjo,35.02.24,Sekretariat Daerah,35.02.24.02,Bidang Perencanaan - Sekretariat Daerah,1,Urusan Wajib Pelayanan Dasar,02,Kesehatan,1.02.02,Program Peningkatan Kualitas Pelayanan Publik,Indeks Kepuasan Masyarakat,59,Poin,Meningkatnya kualitas pelayanan publik,1.02.02.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,143,Unit,1.02.02.07.06,Penyusunan Laporan Kinerja,Jumlah laporan,128,Dokumen,3,Pendapatan Asli Daerah (PAD),5,Belanja Daerah,5.1,Belanja Operasi,5.1.02,Belanja Barang dan Jasa,5.1.02.01,Belanja Bahan Pakai Habis,SH.015,Snack Rapat,Snack box,Kotak,379,32491,2.0,24628178,2023,Perubahan,1.1.02,Kas di Bendahara Pengeluaran,02,Pengadaan Melalui Tender,Kantor Kecamatan,Hibah,,Proses Verifikasi
33,Jawa Tengah,SAT-33-018,33.01,Kota Semarang,33.01.04,Dinas Perumahan dan Kawasan Permukiman,33.01.04.01,Sekretariat - Dinas Perumahan dan Kawasan Permukiman,2,Urusan Wajib Non Pelayanan Dasar,11,Lingkungan Hidup,2.05.11,Program Peningkatan Mutu Pendidikan,Rata-rata lama sekolah,69,Tahun,Meningkatnya akses dan mutu pendidikan,2.05.11.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,463,Layanan,2.05.11.11.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,192,Orang,1,Dana Alokasi Umum (DAU),5,Belanja Daerah,5.2,Belanja Modal,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.02,Belanja Modal Meubelair,SH.028,Buku Pelajaran,Per eksemplar,Eksemplar,163,97000,1.0,15811000,2023,Murni,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Balai Desa,APBD Perubahan,,Disetujui
33,Jawa Tengah,SAT-33-003,33.03,Kota Magelang,33.03.05,Badan Perencanaan Pembangunan Daerah,33.03.05.01,Sekretariat - Badan Perencanaan Pembangunan Daerah,4,Urusan Pemerintahan Umum,22,Keuangan,4.02.03,Program Pembangunan Infrastruktur Dasar,Persentase infrastruktur dalam kondisi baik,82,%,Meningkatnya kualitas infrastruktur dasar,4.02.03.10,Pengelolaan Data dan Informasi,Jumlah data terkelola,54,Dataset,4.02.03.10.14,Pelatihan Teknis Pegawai,Jumlah pegawai terlatih,138,Orang,2,Dana Alokasi Khusus (DAK),5,Belanja Daerah,5.4,Belanja Transfer,5.2.02,Belanja Modal Peralatan dan Mesin,5.2.02.02,Belanja Modal Meubelair,SH.029,Server Komputer,Xeon RAM 64GB,Unit,48,35014000,1.0,1680672000,2025,Murni,1.1.03,Kas di Bendahara Penerimaan,02,Pengadaan Melalui Tender,Gedung Serbaguna,APBD Perubahan,,Disetujui
31,DKI Jakarta,SAT-31-032,31.01,Kota Jakarta Pusat,31.01.16,Dinas Kebudayaan dan Pariwisata,31.01.16.03,Bidang Pelaksanaan - Dinas Kebudayaan dan Pariwisata,4,Urusan Pemerintahan Umum,22,Keuangan,4.02.04,Program Peningkatan Sumber Daya Manusia,Indeks Pembangunan Manusia,99,Poin,Meningkatnya kualitas SDM,4.02.04.07,Pengadaan Sarana dan Prasarana,Jumlah sarana diadakan,63,Unit,4.02.04.07.10,Pelaksanaan Survei dan Pendataan,Jumlah responden,188,Orang,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.1,Belanja Operasi,5.1.05,Belanja Hibah,5.1.02.06,Belanja Cetak dan Penggandaan,SH.025,Seragam Batik,Per stel,Stel,268,347000,0.5,46498000,2023,Murni,5.1.01,Rekening Belanja Pegawai,04,E-Purchasing,Gedung Serbaguna,APBD Murni,Prioritas daerah,Selesai
35,Jawa Timur,SAT-35-013,35.01,Kota Surabaya,35.01.10,Dinas Pengendalian Penduduk dan Keluarga Berencana,35.01.10.02,Bidang Perencanaan - Dinas Pengendalian Penduduk dan Keluarga Berencana,3,Urusan Pilihan,18,Pariwisata,3.02.02,Program Peningkatan Kualitas Pelayanan Publik,Indeks Kepuasan Masyarakat,72,Poin,Meningkatnya kualitas pelayanan publik,3.02.02.11,Pelayanan Administrasi Umum,Jumlah layanan administrasi,397,Layanan,3.02.02.11.11,Cetak dan Penggandaan Dokumen,Jumlah dokumen tercetak,196,Eksemplar,7,Bantuan Keuangan Provinsi,5,Belanja Daerah,5.2,Belanja Modal,5.2.01,Belanja Modal Tanah,5.1.01.01,Gaji Pokok PNS,SH.050,Hand Sanitizer,Hand sanitizer 500ml,Botol,490,45000,1.1,24255000,2023,Murni,5.2.01,Rekening Belanja Modal,01,Pembelian Langsung,Lapangan Umum,APBD Murni,Perlu koordinasi lintas SKPD,Revisi
